expense_id,expense_date,expense_category,amount,description
289,2025-07-29,Marketing,83.83,Operating expense
290,2024-12-28,Software,29.88,Operating expense
291,2025-09-18,Studio supplies,91.36,Operating expense
292,2025-10-08,Software,65.75,Operating expense
293,2025-09-14,Software,11.3,Operating expense
294,2024-01-21,Travel,130.55,Operating expense
295,2025-02-14,Marketing,337.66,Operating expense
296,2024-06-09,Insurance,237.86,Operating expense
297,2024-03-30,Studio supplies,72.62,Operating expense
298,2024-02-08,Studio supplies,55.48,Operating expense
299,2024-07-27,Contract labor,318.0,Operating expense
300,2025-03-25,Marketing,35.14,Operating expense
301,2025-03-06,Travel,83.9,Operating expense
302,2025-05-18,Contract labor,109.37,Operating expense
303,2024-05-21,Insurance,179.61,Operating expense
304,2024-04-02,Equipment,1369.97,Operating expense
305,2024-02-22,Travel,184.62,Operating expense
306,2025-01-19,Equipment,491.51,Operating expense
307,2024-04-05,Marketing,60.8,Operating expense
308,2024-02-17,Studio supplies,93.35,Operating expense
309,2024-08-07,Studio supplies,1.98,Operating expense
310,2024-11-02,Software,147.96,Operating expense
311,2024-02-06,Insurance,116.93,Operating expense
312,2025-06-13,Marketing,122.05,Operating expense
313,2024-05-02,Travel,70.69,Operating expense
314,2025-10-21,Software,115.01,Operating expense
315,2025-12-20,Marketing,185.71,Operating expense
316,2025-06-19,Contract labor,347.3,Operating expense
317,2025-08-15,Contract labor,213.87,Operating expense
318,2024-05-24,Software,87.4,Operating expense
319,2024-12-02,Marketing,71.21,Operating expense
320,2025-03-02,Equipment,187.73,Operating expense
321,2024-07-05,Equipment,375.42,Operating expense
322,2025-03-20,Contract labor,652.89,Operating expense
323,2024-03-17,Equipment,590.09,Operating expense
324,2025-09-29,Contract labor,122.66,Operating expense
325,2024-02-05,Equipment,187.06,Operating expense
326,2024-03-15,Contract labor,272.54,Operating expense
327,2024-11-09,Software,121.57,Operating expense
328,2024-09-23,Marketing,508.87,Operating expense
329,2024-05-11,Travel,40.54,Operating expense
330,2024-01-09,Travel,217.0,Operating expense
331,2024-12-02,Software,86.62,Operating expense
332,2024-06-19,Studio supplies,101.29,Operating expense
333,2024-10-14,Travel,50.16,Operating expense
334,2024-01-26,Equipment,368.27,Operating expense
335,2024-08-26,Contract labor,287.13,Operating expense
336,2024-10-22,Studio supplies,103.02,Operating expense
337,2024-07-23,Insurance,15.98,Operating expense
338,2024-09-20,Marketing,167.63,Operating expense
339,2024-11-27,Contract labor,595.7,Operating expense
340,2025-12-19,Travel,116.39,Operating expense
341,2024-01-15,Contract labor,99.36,Operating expense
342,2024-01-04,Studio supplies,106.67,Operating expense
343,2025-05-13,Contract labor,196.9,Operating expense
344,2024-07-30,Contract labor,292.43,Operating expense
345,2024-05-04,Travel,37.21,Operating expense
346,2024-11-29,Insurance,10.87,Operating expense
347,2024-08-05,Software,76.76,Operating expense
348,2024-11-21,Travel,233.6,Operating expense
349,2024-01-07,Contract labor,153.23,Operating expense
350,2024-10-31,Equipment,827.61,Operating expense
351,2025-12-20,Studio supplies,59.48,Operating expense
352,2025-03-10,Contract labor,88.63,Operating expense
353,2025-08-27,Equipment,602.32,Operating expense
354,2025-06-30,Software,73.12,Operating expense
355,2024-09-01,Travel,61.46,Operating expense
356,2024-10-29,Insurance,49.24,Operating expense
357,2024-06-05,Marketing,166.64,Operating expense
358,2024-03-11,Insurance,205.84,Operating expense
359,2025-09-28,Studio supplies,98.66,Operating expense
360,2024-01-14,Marketing,420.38,Operating expense
361,2025-10-15,Studio supplies,103.5,Operating expense
362,2024-12-16,Marketing,78.3,Operating expense
363,2024-10-05,Marketing,113.35,Operating expense
364,2025-06-11,Insurance,51.0,Operating expense
365,2024-08-10,Marketing,137.09,Operating expense
366,2024-02-04,Contract labor,38.52,Operating expense
367,2024-12-18,Studio supplies,52.2,Operating expense
368,2024-10-18,Contract labor,134.15,Operating expense
369,2024-11-08,Travel,49.61,Operating expense
370,2025-03-09,Contract labor,329.86,Operating expense
371,2025-01-13,Studio supplies,86.87,Operating expense
372,2025-11-21,Insurance,80.55,Operating expense
373,2025-05-10,Equipment,646.84,Operating expense
374,2025-02-16,Marketing,47.14,Operating expense
375,2025-02-27,Marketing,307.12,Operating expense
376,2025-11-14,Marketing,129.18,Operating expense
377,2024-12-15,Contract labor,162.73,Operating expense
378,2024-08-31,Contract labor,178.34,Operating expense
379,2024-09-10,Marketing,270.49,Operating expense
380,2025-10-09,Software,97.1,Operating expense
381,2025-06-03,Travel,305.01,Operating expense
382,2025-11-16,Contract labor,361.04,Operating expense
383,2025-05-04,Travel,166.39,Operating expense
384,2024-11-19,Software,20.47,Operating expense
385,2024-08-05,Software,69.33,Operating expense
386,2024-05-04,Contract labor,281.39,Operating expense
387,2025-08-09,Equipment,210.28,Operating expense
388,2025-12-22,Software,66.09,Operating expense
389,2025-11-19,Marketing,103.51,Operating expense
390,2024-10-04,Studio supplies,27.84,Operating expense
391,2025-01-19,Studio supplies,16.74,Operating expense
392,2025-12-11,Travel,52.98,Operating expense
393,2025-05-25,Travel,98.73,Operating expense
394,2025-12-26,Marketing,274.56,Operating expense
395,2025-09-14,Equipment,698.86,Operating expense
396,2025-06-24,Marketing,173.41,Operating expense
397,2025-09-30,Studio supplies,97.98,Operating expense
398,2024-09-07,Travel,92.69,Operating expense
399,2025-12-28,Equipment,69.45,Operating expense
400,2024-01-27,Studio supplies,70.61,Operating expense
401,2025-05-29,Marketing,208.31,Operating expense
402,2024-12-01,Software,26.18,Operating expense
403,2025-09-22,Travel,52.08,Operating expense
404,2025-05-28,Equipment,811.51,Operating expense
405,2024-09-11,Marketing,286.97,Operating expense
406,2024-05-13,Marketing,130.25,Operating expense
407,2024-08-12,Contract labor,48.16,Operating expense
408,2025-11-02,Contract labor,197.86,Operating expense
409,2024-04-05,Equipment,72.64,Operating expense
410,2025-12-31,Software,39.08,Operating expense
411,2025-08-12,Equipment,532.36,Operating expense
412,2024-10-29,Contract labor,171.16,Operating expense
413,2025-02-23,Equipment,191.15,Operating expense
414,2025-07-06,Software,70.24,Operating expense
415,2024-11-11,Contract labor,284.15,Operating expense
416,2025-12-16,Marketing,344.19,Operating expense
417,2025-06-09,Studio supplies,133.18,Operating expense
418,2025-06-18,Marketing,189.98,Operating expense
419,2024-11-21,Insurance,37.78,Operating expense
420,2024-01-02,Travel,258.45,Operating expense
421,2024-08-10,Travel,80.1,Operating expense
422,2025-05-26,Contract labor,551.25,Operating expense
423,2025-07-06,Software,60.25,Operating expense
424,2024-04-30,Travel,84.8,Operating expense
425,2025-05-19,Studio supplies,79.84,Operating expense
426,2025-12-17,Equipment,199.93,Operating expense
427,2025-11-07,Travel,282.16,Operating expense
428,2024-03-03,Marketing,59.4,Operating expense
429,2025-06-21,Insurance,155.49,Operating expense
430,2025-07-18,Equipment,142.5,Operating expense
431,2024-12-16,Contract labor,127.81,Operating expense
432,2024-10-13,Travel,217.69,Operating expense
433,2025-03-31,Studio supplies,148.63,Operating expense
434,2025-10-30,Software,16.54,Operating expense
435,2025-09-08,Insurance,35.33,Operating expense
436,2024-03-08,Equipment,475.15,Operating expense
437,2025-03-27,Travel,23.63,Operating expense
438,2024-10-21,Insurance,97.47,Operating expense
439,2025-02-12,Marketing,377.66,Operating expense
440,2024-02-13,Studio supplies,17.5,Operating expense
441,2025-12-16,Travel,121.61,Operating expense
442,2025-11-27,Contract labor,60.24,Operating expense
443,2024-04-05,Studio supplies,49.82,Operating expense
444,2025-12-17,Marketing,114.23,Operating expense
445,2025-07-23,Marketing,349.45,Operating expense
446,2024-12-03,Marketing,142.87,Operating expense
447,2025-06-12,Marketing,94.99,Operating expense
448,2024-05-05,Insurance,43.88,Operating expense
449,2025-07-16,Marketing,79.04,Operating expense
450,2024-01-06,Equipment,330.11,Operating expense
451,2024-03-08,Equipment,341.63,Operating expense
452,2025-02-20,Travel,68.83,Operating expense
453,2025-03-10,Equipment,87.88,Operating expense
454,2025-06-19,Travel,35.27,Operating expense
455,2024-12-29,Travel,197.2,Operating expense
456,2025-06-25,Marketing,248.24,Operating expense
457,2024-08-21,Software,34.13,Operating expense
458,2024-06-15,Contract labor,268.65,Operating expense
459,2024-10-17,Studio supplies,96.29,Operating expense
460,2024-10-10,Equipment,673.94,Operating expense
461,2024-03-21,Studio supplies,122.76,Operating expense
462,2024-02-20,Travel,135.9,Operating expense
463,2024-01-14,Studio supplies,142.31,Operating expense
464,2025-01-21,Studio supplies,63.16,Operating expense
465,2024-10-19,Contract labor,92.34,Operating expense
466,2024-08-27,Marketing,15.01,Operating expense
467,2025-09-29,Marketing,493.39,Operating expense
468,2025-11-23,Travel,231.52,Operating expense
469,2025-07-31,Insurance,229.95,Operating expense
470,2024-02-16,Equipment,192.34,Operating expense
471,2024-12-09,Contract labor,530.33,Operating expense
472,2025-11-22,Travel,172.09,Operating expense
473,2025-06-28,Marketing,123.51,Operating expense
474,2024-07-26,Marketing,155.63,Operating expense
475,2024-03-08,Software,63.07,Operating expense
476,2024-01-14,Marketing,293.42,Operating expense
477,2025-08-25,Marketing,58.83,Operating expense
478,2024-04-05,Marketing,306.37,Operating expense
479,2025-07-08,Software,50.9,Operating expense
480,2025-04-11,Travel,15.92,Operating expense
481,2024-05-14,Marketing,120.24,Operating expense
482,2024-08-12,Marketing,119.05,Operating expense
483,2024-11-04,Marketing,123.67,Operating expense
484,2025-06-18,Marketing,67.33,Operating expense
485,2024-02-13,Studio supplies,60.59,Operating expense
486,2024-12-16,Marketing,171.13,Operating expense
487,2024-09-11,Marketing,197.85,Operating expense
488,2024-05-01,Marketing,105.74,Operating expense
489,2025-08-28,Software,138.4,Operating expense
490,2025-09-04,Travel,55.72,Operating expense
491,2025-03-10,Insurance,281.78,Operating expense
492,2025-08-23,Equipment,293.83,Operating expense
493,2025-07-04,Marketing,374.94,Operating expense
494,2025-06-26,Insurance,161.17,Operating expense
495,2025-07-20,Contract labor,228.51,Operating expense
496,2025-12-03,Studio supplies,34.61,Operating expense
497,2024-02-03,Insurance,92.31,Operating expense
498,2025-11-17,Software,58.3,Operating expense
499,2024-02-28,Contract labor,293.53,Operating expense
500,2024-12-25,Studio supplies,32.08,Operating expense
501,2024-09-08,Marketing,465.89,Operating expense
502,2024-04-20,Marketing,50.02,Operating expense
503,2025-05-29,Marketing,18.38,Operating expense
504,2025-10-09,Marketing,181.0,Operating expense
505,2025-03-29,Studio supplies,273.41,Operating expense
506,2024-05-03,Software,208.02,Operating expense
507,2025-04-11,Insurance,255.94,Operating expense
508,2024-09-13,Equipment,599.97,Operating expense
509,2025-05-21,Software,9.4,Operating expense
510,2024-11-26,Travel,11.86,Operating expense
511,2024-12-05,Equipment,465.97,Operating expense
512,2025-08-27,Equipment,413.25,Operating expense
513,2025-05-27,Contract labor,202.13,Operating expense
514,2024-12-24,Studio supplies,32.86,Operating expense
515,2024-01-21,Studio supplies,71.83,Operating expense
516,2025-11-27,Marketing,227.64,Operating expense
517,2024-09-19,Marketing,70.87,Operating expense
518,2025-05-16,Insurance,34.0,Operating expense
519,2025-03-08,Marketing,80.96,Operating expense
520,2025-06-02,Equipment,893.19,Operating expense
521,2025-02-15,Equipment,644.47,Operating expense
522,2024-06-01,Studio supplies,71.4,Operating expense
523,2025-11-02,Marketing,113.69,Operating expense
524,2024-08-19,Insurance,23.37,Operating expense
525,2025-11-07,Contract labor,264.98,Operating expense
526,2025-10-26,Insurance,63.02,Operating expense
527,2024-05-21,Equipment,936.44,Operating expense
528,2024-10-11,Studio supplies,51.22,Operating expense
529,2024-06-30,Contract labor,308.9,Operating expense
530,2024-10-24,Studio supplies,70.54,Operating expense
531,2024-05-15,Marketing,40.86,Operating expense
532,2024-03-15,Marketing,90.81,Operating expense
533,2024-05-29,Marketing,142.21,Operating expense
534,2025-01-09,Studio supplies,169.22,Operating expense
535,2025-09-24,Software,24.24,Operating expense
536,2024-10-29,Contract labor,56.03,Operating expense
537,2025-10-21,Equipment,327.79,Operating expense
538,2024-11-04,Contract labor,77.41,Operating expense
539,2024-03-16,Contract labor,133.67,Operating expense
540,2024-11-09,Software,61.66,Operating expense
541,2024-11-17,Travel,6.5,Operating expense
542,2024-03-25,Travel,49.64,Operating expense
543,2024-04-04,Software,42.61,Operating expense
544,2025-05-11,Marketing,314.04,Operating expense
545,2025-05-27,Equipment,115.55,Operating expense
546,2025-04-17,Studio supplies,72.03,Operating expense
547,2025-04-22,Software,79.44,Operating expense
548,2024-06-20,Software,180.45,Operating expense
549,2025-02-19,Studio supplies,133.62,Operating expense
550,2025-07-21,Contract labor,85.82,Operating expense
551,2025-07-23,Marketing,150.12,Operating expense
552,2024-08-30,Marketing,95.23,Operating expense
553,2025-03-01,Travel,23.84,Operating expense
554,2025-01-25,Marketing,169.67,Operating expense
555,2025-09-19,Travel,257.73,Operating expense
556,2025-07-22,Studio supplies,151.52,Operating expense
557,2024-03-10,Equipment,1303.3,Operating expense
558,2024-12-26,Travel,73.02,Operating expense
559,2025-01-25,Contract labor,391.33,Operating expense
560,2025-09-11,Equipment,808.1,Operating expense
561,2024-06-19,Insurance,62.54,Operating expense
562,2025-10-16,Studio supplies,50.5,Operating expense
563,2025-08-21,Travel,25.98,Operating expense
564,2025-07-30,Equipment,433.14,Operating expense
565,2025-03-08,Software,22.05,Operating expense
566,2024-11-03,Software,33.82,Operating expense
567,2025-01-08,Contract labor,629.25,Operating expense
568,2024-04-05,Contract labor,327.14,Operating expense
569,2024-04-27,Marketing,57.18,Operating expense
570,2024-11-20,Travel,128.15,Operating expense
571,2024-08-23,Marketing,89.91,Operating expense
572,2025-04-04,Contract labor,291.29,Operating expense
573,2025-09-04,Travel,26.91,Operating expense
574,2024-12-06,Studio supplies,91.84,Operating expense
575,2025-10-14,Travel,14.16,Operating expense
576,2024-06-02,Marketing,132.79,Operating expense
577,2025-06-23,Marketing,318.85,Operating expense
578,2024-08-27,Studio supplies,14.39,Operating expense
