lead_id,client_id,lead_source,service_category,inquiry_date,first_response_at,lead_status
116,1156,Local Event,Newborn,2024-10-20 00:00:00,2024-10-22 05:00:00,qualified
117,934,Facebook,Mini sessions,2024-05-13 00:00:00,2024-05-15 05:00:00,lost
118,727,Local Event,Branding/headshots,2024-06-24 00:00:00,2024-06-26 20:00:00,qualified
119,310,Referral,Branding/headshots,2024-09-27 00:00:00,2024-09-27 06:00:00,lost
120,1143,Google Search,Couples,2024-02-18 00:00:00,2024-02-19 13:00:00,qualified
121,353,Google Search,Branding/headshots,2024-12-06 00:00:00,2024-12-08 17:00:00,qualified
122,936,Repeat Client,Mini sessions,2024-08-30 00:00:00,2024-08-30 21:00:00,lost
123,180,Wedding Vendor,Family portraits,2024-01-11 00:00:00,2024-01-12 16:00:00,qualified
124,680,Google Search,Mini sessions,2024-10-27 00:00:00,2024-10-28 12:00:00,qualified
125,813,Facebook,Couples,2024-03-22 00:00:00,2024-03-24 04:00:00,qualified
126,960,Instagram,Family portraits,2024-07-19 00:00:00,2024-07-19 01:00:00,contacted
127,758,Facebook,Branding/headshots,2025-02-15 00:00:00,2025-02-15 08:00:00,qualified
128,807,Paid Advertisement,Family portraits,2024-10-24 00:00:00,2024-10-25 10:00:00,lost
129,869,Instagram,Maternity,2024-07-29 00:00:00,2024-07-29 17:00:00,qualified
130,848,Wedding Vendor,Maternity,2024-06-26 00:00:00,2024-06-26 21:00:00,qualified
131,340,Wedding Vendor,Family portraits,2024-03-11 00:00:00,2024-03-12 05:00:00,lost
132,807,Google Search,Couples,2025-01-14 00:00:00,2025-01-15 18:00:00,lost
133,1195,Paid Advertisement,Newborn,2024-05-12 00:00:00,2024-05-14 16:00:00,qualified
134,458,Paid Advertisement,Family portraits,2025-03-30 00:00:00,2025-03-31 13:00:00,lost
135,753,Instagram,Branding/headshots,2025-09-10 00:00:00,2025-09-11 21:00:00,lost
136,475,Wedding Vendor,Mini sessions,2024-11-25 00:00:00,2024-11-27 03:00:00,new
137,195,instgram,Family portraits,2024-07-26 00:00:00,2024-07-28 19:00:00,lost
138,777,Instagram,Family portraits,2025-01-12 00:00:00,2025-01-14 16:00:00,contacted
139,1039,Wedding Vendor,Maternity,2024-09-04 00:00:00,2024-09-05 09:00:00,lost
140,213,Google Search,Couples,2025-08-14 00:00:00,2025-08-14 03:00:00,lost
141,651,Paid Advertisement,Weddings,2025-10-18 00:00:00,2025-10-20 14:00:00,new
142,505,Google Search,Couples,2025-12-05 00:00:00,2025-12-05 01:00:00,lost
143,1101,Instagram,Mini sessions,2024-05-27 00:00:00,2024-05-28 14:00:00,lost
144,572,Local Event,Mini sessions,2025-10-06 00:00:00,2025-10-06 23:00:00,contacted
145,1001,Repeat Client,Branding/headshots,2025-08-23 00:00:00,2025-08-25 10:00:00,lost
146,872,Paid Advertisement,Graduation,2024-12-17 00:00:00,2024-12-18 09:00:00,lost
147,801,Instagram,Branding/headshots,2025-01-29 00:00:00,2025-01-29 17:00:00,qualified
148,392,Instagram,Weddings,2025-06-09 00:00:00,2025-06-11 05:00:00,qualified
149,315,Facebook,Branding/headshots,2024-03-13 00:00:00,2024-03-13 22:00:00,qualified
150,686,Paid Advertisement,Branding/headshots,2025-03-19 00:00:00,2025-03-20 18:00:00,lost
151,1057,Instagram,Weddings,2024-09-17 00:00:00,2024-09-17 12:00:00,lost
152,464,Instagram,Mini sessions,2025-02-02 00:00:00,2025-02-04 12:00:00,lost
153,84,Instagram,Family portraits,2025-08-14 00:00:00,2025-08-15 03:00:00,lost
154,693,Facebook,Branding/headshots,2024-03-15 00:00:00,2024-03-15 21:00:00,lost
155,357,Google Search,Mini sessions,2025-10-10 00:00:00,2025-10-10 07:00:00,lost
156,792,Google Search,Family portraits,2025-01-07 00:00:00,2025-01-07 11:00:00,lost
157,481,Local Event,Branding/headshots,2024-11-30 00:00:00,2024-11-30 13:00:00,lost
158,7,Referral,Graduation,2025-06-01 00:00:00,2025-06-02 16:00:00,qualified
159,585,Referal,Couples,2025-04-04 00:00:00,2025-04-06 11:00:00,lost
160,426,Google Search,Branding/headshots,2024-06-12 00:00:00,2024-06-12 08:00:00,lost
161,953,Facebook,Mini sessions,2024-12-12 00:00:00,2024-12-13 23:00:00,contacted
162,638,Instagram,Mini sessions,2024-11-25 00:00:00,2024-11-27 17:00:00,qualified
163,824,Instagram,Graduation,2025-10-14 00:00:00,2025-10-16 09:00:00,contacted
164,809,Google Search,Branding/headshots,2024-06-06 00:00:00,2024-06-06 10:00:00,lost
165,314,Google Search,Family portraits,2024-08-06 00:00:00,2024-08-06 18:00:00,new
166,1072,Instagram,Mini sessions,2024-11-21 00:00:00,2024-11-22 16:00:00,lost
167,544,Paid Advertisement,Weddings,2024-05-31 00:00:00,2024-06-01 22:00:00,lost
168,39,Google Search,Couples,2025-05-28 00:00:00,2025-05-28 23:00:00,contacted
169,751,Referral,Branding/headshots,2024-11-28 00:00:00,2024-11-29 10:00:00,lost
170,770,Paid Advertisement,Mini sessions,2025-08-31 00:00:00,2025-08-31 18:00:00,qualified
171,130,Instagram,Weddings,2024-01-05 00:00:00,2024-01-07 17:00:00,lost
172,588,Referral,Branding/headshots,2024-09-19 00:00:00,2024-09-20 07:00:00,qualified
173,1056,Referral,Mini sessions,2024-10-19 00:00:00,2024-10-21 07:00:00,lost
174,1058,Referal,Newborn,2024-03-29 00:00:00,2024-03-31 09:00:00,qualified
175,1098,Repeat Client,Branding/headshots,2025-03-16 00:00:00,2025-03-18 08:00:00,qualified
176,78,Google Search,Newborn,2025-06-22 00:00:00,2025-06-24 03:00:00,qualified
177,1109,Facebook,Couples,2025-02-24 00:00:00,2025-02-26 21:00:00,qualified
178,1063,Paid Advertisement,Mini sessions,2024-02-13 00:00:00,2024-02-14 10:00:00,qualified
179,176,instgram,Maternity,2025-04-28 00:00:00,2025-04-29 20:00:00,qualified
180,755,Instagram,Family portraits,2025-05-06 00:00:00,2025-05-08 00:00:00,lost
181,28,Instagram,Mini sessions,2025-05-22 00:00:00,2025-05-22 08:00:00,qualified
182,29,Instagram,Couples,2025-11-21 00:00:00,2025-11-21 06:00:00,new
183,629,Google Search,Mini sessions,2025-02-04 00:00:00,2025-02-06 00:00:00,lost
184,20,Wedding Vendor,Family portraits,2025-10-06 00:00:00,2025-10-08 19:00:00,lost
185,688,Referral,Mini sessions,2024-09-04 00:00:00,2024-09-06 11:00:00,contacted
186,1017,Instagram,Branding/headshots,2024-07-13 00:00:00,2024-07-14 04:00:00,qualified
187,1113,Referral,Newborn,2025-11-28 00:00:00,2025-11-30 01:00:00,lost
188,106,Instagram,Mini sessions,2024-03-01 00:00:00,2024-03-01 12:00:00,qualified
189,427,Referral,Graduation,2025-05-17 00:00:00,2025-05-19 03:00:00,lost
190,26,Referral,Weddings,2025-08-30 00:00:00,2025-08-31 13:00:00,lost
191,198,Referral,Mini sessions,2025-07-06 00:00:00,2025-07-07 05:00:00,qualified
192,1017,Paid Advertisement,Weddings,2025-09-13 00:00:00,2025-09-13 05:00:00,qualified
193,1200,Local Event,Graduation,2024-11-01 00:00:00,2024-11-02 07:00:00,contacted
194,480,Referal,Family portraits,2025-12-07 00:00:00,2025-12-08 02:00:00,qualified
195,112,Wedding Vendor,Mini sessions,2025-12-16 00:00:00,2025-12-18 23:00:00,qualified
196,380,Instagram,Graduation,2025-04-19 00:00:00,2025-04-21 02:00:00,lost
197,71,Wedding Vendor,Branding/headshots,2025-07-18 00:00:00,2025-07-19 05:00:00,contacted
198,694,Referral,Graduation,2025-05-01 00:00:00,2025-05-02 20:00:00,lost
199,868,Referral,Branding/headshots,2025-03-30 00:00:00,2025-03-30 04:00:00,qualified
200,750,Google Search,Weddings,2024-03-29 00:00:00,2024-03-31 11:00:00,contacted
201,753,Facebook,Couples,2024-11-26 00:00:00,2024-11-27 19:00:00,qualified
202,1118,Facebook,Weddings,2024-08-11 00:00:00,2024-08-12 11:00:00,contacted
203,450,Referral,Newborn,2024-03-23 00:00:00,2024-03-23 22:00:00,qualified
204,1146,Wedding Vendor,Mini sessions,2025-11-28 00:00:00,2025-11-30 11:00:00,contacted
205,39,Paid Advertisement,Family portraits,2025-10-04 00:00:00,2025-10-04 19:00:00,qualified
206,323,Wedding Vendor,Maternity,2025-01-20 00:00:00,2025-01-20 22:00:00,new
207,954,Google Search,Branding/headshots,2025-04-08 00:00:00,2025-04-10 10:00:00,qualified
208,992,Paid Advertisement,Maternity,2025-05-02 00:00:00,2025-05-02 13:00:00,qualified
209,145,Facebook,Mini sessions,2025-05-21 00:00:00,2025-05-23 05:00:00,contacted
210,17,Referral,Family portraits,2025-11-05 00:00:00,2025-11-06 12:00:00,qualified
211,133,Paid Advertisement,Graduation,2024-04-02 00:00:00,2024-04-02 11:00:00,lost
212,564,Facebook,Weddings,2024-09-22 00:00:00,2024-09-22 15:00:00,qualified
213,489,Paid Advertisement,Mini sessions,2025-09-26 00:00:00,2025-09-28 19:00:00,qualified
214,96,instgram,Mini sessions,2025-05-30 00:00:00,2025-05-30 06:00:00,qualified
215,919,Paid Advertisement,Family portraits,2025-08-05 00:00:00,2025-08-06 15:00:00,qualified
216,550,Facebook,Couples,2024-02-03 00:00:00,2024-02-04 18:00:00,contacted
217,852,Local Event,Graduation,2025-05-10 00:00:00,2025-05-11 19:00:00,lost
218,540,Google Search,Family portraits,2025-06-01 00:00:00,2025-06-03 11:00:00,qualified
219,805,Facebook,Mini sessions,2025-12-20 00:00:00,2025-12-20 08:00:00,lost
220,1000,Facebook,Branding/headshots,2024-02-20 00:00:00,2024-02-22 12:00:00,lost
221,435,Instagram,Family portraits,2024-03-10 00:00:00,2024-03-10 18:00:00,qualified
222,685,Google Search,Newborn,2024-07-05 00:00:00,2024-07-06 17:00:00,lost
223,1145,Local Event,Branding/headshots,2025-05-31 00:00:00,2025-05-31 03:00:00,qualified
224,17,Instagram,Couples,2025-09-22 00:00:00,2025-09-22 16:00:00,qualified
225,213,Referal,Graduation,2024-03-20 00:00:00,2024-03-21 01:00:00,new
226,1087,Repeat Client,Mini sessions,2024-08-24 00:00:00,2024-08-26 08:00:00,lost
227,1074,Instagram,Mini sessions,2024-10-02 00:00:00,2024-10-04 05:00:00,qualified
228,550,Referral,Maternity,2024-09-28 00:00:00,2024-09-28 18:00:00,lost
229,887,Referral,Weddings,2025-10-12 00:00:00,2025-10-14 18:00:00,lost
230,704,Instagram,Mini sessions,2024-10-21 00:00:00,2024-10-22 01:00:00,lost
231,602,Local Event,Graduation,2024-12-01 00:00:00,2024-12-02 03:00:00,qualified
232,908,Local Event,Couples,2025-11-12 00:00:00,2025-11-12 04:00:00,qualified
233,1185,Repeat Client,Family portraits,2025-10-11 00:00:00,2025-10-13 22:00:00,lost
234,295,Referral,Family portraits,2024-11-01 00:00:00,2024-11-02 23:00:00,qualified
235,554,Local Event,Weddings,2024-05-11 00:00:00,2024-05-11 07:00:00,lost
236,56,Instagram,Mini sessions,2024-04-11 00:00:00,2024-04-12 12:00:00,lost
237,1179,Repeat Client,Mini sessions,2025-10-05 00:00:00,2025-10-06 11:00:00,contacted
238,617,Wedding Vendor,Family portraits,2025-04-11 00:00:00,2025-04-13 19:00:00,qualified
239,741,Instagram,Couples,2025-12-01 00:00:00,2025-12-03 01:00:00,lost
240,937,Instagram,Mini sessions,2024-01-17 00:00:00,2024-01-18 04:00:00,lost
241,673,Instagram,Newborn,2025-12-12 00:00:00,2025-12-12 11:00:00,lost
242,1127,Referral,Mini sessions,2025-10-08 00:00:00,2025-10-08 23:00:00,qualified
243,966,Instagram,Weddings,2025-07-19 00:00:00,2025-07-20 06:00:00,lost
244,493,Facebook,Branding/headshots,2024-06-27 00:00:00,2024-06-29 17:00:00,lost
245,1131,Wedding Vendor,Family portraits,2025-06-05 00:00:00,2025-06-07 19:00:00,qualified
246,908,Facebook,Branding/headshots,2024-04-09 00:00:00,2024-04-09 20:00:00,qualified
247,991,Paid Advertisement,Mini sessions,2025-07-28 00:00:00,2025-07-28 03:00:00,qualified
248,352,Wedding Vendor,Branding/headshots,2024-05-02 00:00:00,2024-05-03 17:00:00,contacted
249,681,Facebook,Family portraits,2024-06-11 00:00:00,2024-06-12 03:00:00,qualified
250,832,Facebook,Graduation,2024-10-15 00:00:00,2024-10-15 01:00:00,new
251,999,Facebook,Mini sessions,2024-12-19 00:00:00,2024-12-21 01:00:00,qualified
252,238,Instagram,Couples,2024-09-20 00:00:00,2024-09-20 13:00:00,lost
253,1065,Instagram,Family portraits,2025-09-23 00:00:00,2025-09-24 12:00:00,qualified
254,273,Paid Advertisement,Branding/headshots,2024-08-30 00:00:00,2024-09-01 16:00:00,lost
255,558,Referral,Branding/headshots,2024-09-29 00:00:00,2024-09-29 17:00:00,qualified
256,640,Facebook,Mini sessions,2025-07-05 00:00:00,2025-07-06 00:00:00,qualified
257,213,Instagram,Maternity,2024-10-12 00:00:00,2024-10-13 12:00:00,lost
258,993,Instagram,Mini sessions,2024-03-24 00:00:00,2024-03-26 15:00:00,lost
259,271,Instagram,Couples,2024-10-11 00:00:00,2024-10-13 21:00:00,qualified
260,235,Google Search,Mini sessions,2024-11-15 00:00:00,2024-11-15 15:00:00,lost
261,940,Instagram,Newborn,2025-12-05 00:00:00,2025-12-07 05:00:00,lost
262,235,Facebook,Branding/headshots,2024-08-30 00:00:00,2024-09-01 04:00:00,lost
263,902,Referal,Family portraits,2025-11-13 00:00:00,2025-11-15 11:00:00,new
264,975,Instagram,Mini sessions,2025-11-10 00:00:00,2025-11-11 01:00:00,contacted
265,76,Paid Advertisement,Branding/headshots,2025-11-19 00:00:00,2025-11-20 08:00:00,qualified
266,1194,Instagram,Mini sessions,2025-03-24 00:00:00,2025-03-26 14:00:00,qualified
267,959,Instagram,Couples,2025-10-27 00:00:00,2025-10-29 19:00:00,qualified
268,696,Facebook,Graduation,2024-03-14 00:00:00,2024-03-15 17:00:00,qualified
269,290,Facebook,Couples,2024-10-04 00:00:00,2024-10-06 06:00:00,qualified
270,619,Instagram,Couples,2024-02-17 00:00:00,2024-02-17 11:00:00,qualified
271,496,Google Search,Graduation,2024-05-26 00:00:00,2024-05-27 07:00:00,lost
272,855,Repeat Client,Family portraits,2024-12-27 00:00:00,2024-12-28 15:00:00,qualified
273,612,Instagram,Newborn,2025-08-03 00:00:00,2025-08-04 12:00:00,contacted
274,724,Instagram,Branding/headshots,2025-07-09 00:00:00,2025-07-10 06:00:00,qualified
275,1113,Instagram,Couples,2025-08-02 00:00:00,2025-08-04 03:00:00,qualified
276,19,Instagram,Branding/headshots,2025-06-09 00:00:00,2025-06-09 06:00:00,contacted
277,309,Paid Advertisement,Family portraits,2024-10-23 00:00:00,2024-10-24 18:00:00,lost
278,703,Instagram,Branding/headshots,2025-05-19 00:00:00,2025-05-19 10:00:00,qualified
279,906,Referral,Couples,2024-06-13 00:00:00,2024-06-14 03:00:00,qualified
280,85,Instagram,Mini sessions,2024-06-27 00:00:00,2024-06-28 16:00:00,qualified
281,907,Instagram,Maternity,2024-04-08 00:00:00,2024-04-09 03:00:00,contacted
282,897,Referral,Graduation,2025-07-28 00:00:00,2025-07-30 07:00:00,lost
283,689,Referral,Family portraits,2024-05-18 00:00:00,2024-05-20 20:00:00,contacted
284,63,Paid Advertisement,Family portraits,2025-09-02 00:00:00,2025-09-04 20:00:00,contacted
285,988,Referral,Mini sessions,2025-03-08 00:00:00,2025-03-10 00:00:00,lost
286,1172,Facebook,Newborn,2025-09-18 00:00:00,2025-09-18 17:00:00,contacted
287,115,Instagram,Weddings,2024-10-24 00:00:00,2024-10-24 03:00:00,lost
288,439,Google Search,Branding/headshots,2025-04-01 00:00:00,2025-04-03 21:00:00,qualified
289,74,Face book,Family portraits,2024-09-26 00:00:00,2024-09-27 17:00:00,qualified
290,904,Wedding Vendor,Family portraits,2024-08-29 00:00:00,2024-08-31 17:00:00,qualified
291,395,Instagram,Couples,2025-06-15 00:00:00,2025-06-15 10:00:00,qualified
292,222,Referral,Mini sessions,2024-12-29 00:00:00,2024-12-29 15:00:00,qualified
293,755,Facebook,Graduation,2024-07-12 00:00:00,2024-07-12 18:00:00,qualified
294,833,Google Search,Weddings,2025-04-27 00:00:00,2025-04-29 15:00:00,qualified
295,689,Google Search,Maternity,2024-06-03 00:00:00,2024-06-04 22:00:00,contacted
296,429,Repeat Client,Couples,2024-09-02 00:00:00,2024-09-04 09:00:00,qualified
297,315,Instagram,Weddings,2024-10-26 00:00:00,2024-10-27 06:00:00,qualified
298,782,Repeat Client,Graduation,2025-12-01 00:00:00,2025-12-02 20:00:00,new
299,904,Google Search,Family portraits,2025-04-01 00:00:00,2025-04-02 16:00:00,qualified
300,503,Referral,Branding/headshots,2024-06-09 00:00:00,2024-06-10 18:00:00,qualified
301,70,Repeat Client,Newborn,2024-02-20 00:00:00,2024-02-20 16:00:00,qualified
302,556,Repeat Client,Weddings,2024-06-04 00:00:00,2024-06-05 06:00:00,qualified
303,85,Google Search,Graduation,2025-04-21 00:00:00,2025-04-22 23:00:00,qualified
304,588,Referral,Weddings,2024-09-15 00:00:00,2024-09-17 22:00:00,new
305,147,Facebook,Branding/headshots,2025-11-17 00:00:00,2025-11-17 20:00:00,qualified
306,155,Repeat Client,Graduation,2025-05-11 00:00:00,2025-05-12 02:00:00,qualified
307,498,Instagram,Weddings,2025-03-16 00:00:00,2025-03-17 01:00:00,lost
